planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
RRTstar,0,14,26345,0,0,first_solution,1.000,1,5.001493,0.000548,5.002041,27.636272,24.654115
BITstar,0,14,26345,0,0,first_solution,1.000,1,4.008493,0.000600,4.009092,27.726603,24.981194
RRTConnect,0,15,27345,0,0,first_solution,1.000,1,0.001531,0.001128,0.002659,56.471606,43.936513
PRMstar,0,15,27345,0,0,first_solution,1.000,1,5.007717,0.000563,5.008280,27.643417,24.658072
RRTstar,0,15,27345,0,0,first_solution,1.000,1,5.001462,0.000475,5.001937,27.827255,24.614293
BITstar,0,15,27345,0,0,first_solution,1.000,1,4.148467,0.000648,4.149115,28.454335,24.663788
RRTConnect,0,16,28345,0,0,first_solution,1.000,1,0.000526,0.000771,0.001297,30.738237,25.332932
PRMstar,0,16,28345,0,0,first_solution,1.000,1,5.007589,0.000577,5.008166,27.667728,24.598797
RRTstar,0,16,28345,0,0,first_solution,1.000,1,5.000698,0.009337,5.010035,28.236273,24.780566
BITstar,0,16,28345,0,0,first_solution,1.000,1,4.025492,0.000631,4.026123,27.638942,24.498021
RRTConnect,0,17,29345,0,0,first_solution,1.000,1,0.001014,0.000892,0.001906,45.085903,34.070547
PRMstar,0,17,29345,0,0,first_solution,1.000,1,5.008232,0.000658,5.008889,28.877775,25.173248
RRTstar,0,17,29345,0,0,first_solution,1.000,1,5.001490,0.000635,5.002125,28.498055,24.788679
BITstar,0,17,29345,0,0,first_solution,1.000,1,4.022355,0.000682,4.023037,27.124376,24.463510
RRTConnect,0,18,30345,0,0,first_solution,1.000,1,0.000474,0.000796,0.001270,39.315504,31.837342
PRMstar,0,18,30345,0,0,first_solution,1.000,1,5.007592,0.000597,5.008189,28.015894,24.991717
RRTstar,0,18,30345,0,0,first_solution,1.000,1,5.001836,0.000610,5.002446,27.948530,24.854476
BITstar,0,18,30345,0,0,first_solution,1.000,1,4.015040,0.000672,4.015713,28.933227,24.686697
RRTConnect,0,19,31345,0,0,first_solution,1.000,1,0.000554,0.000573,0.001127,30.157006,25.292819
PRMstar,0,19,31345,0,0,first_solution,1.000,1,5.007225,0.000717,5.007942,29.068491,24.629535
RRTstar,0,19,31345,0,0,first_solution,1.000,1,5.001426,0.000500,5.001926,27.844898,24.775095
BITstar,0,19,31345,0,0,first_solution,1.000,1,4.042005,0.000705,4.042710,28.299970,24.765065
RRTConnect,1,0,112345,1000000,0,first_solution,1.000,1,0.001198,0.000874,0.002072,42.712273,32.268162
PRMstar,1,0,112345,1000000,0,first_solution,1.000,1,5.006281,0.000563,5.006844,30.475009,24.367721
