x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-2.10018,2.41789,-0.338469
1.8177,2.27931,-0.422335
1.88922,2.29646,-0.413709
2.5,2.5,-0.3
2.5,2.5,-0.3
2.66306,1.10973,-0.0412279
2.52961,-0.00324995,0.311843
2.54561,-0.090134,0.307141
2.56482,-0.135801,0.289019
2.84047,-0.722584,0.0249194
2.86268,-0.783663,0.0159009
2.67009,-1.76775,-0.153225
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.06262,-2.70227,-0.409978
1.14864,-2.68866,-0.64324
0.0325641,-2.59752,-0.848976
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.73883,0.0844914,-0.0760699
-4,4,-0.3
