x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.80586,2.91009,-0.553621
1.96634,2.827,-0.49871
2.5,2.5,-0.3
2.5,2.5,-0.3
1.74913,3.08695,0.0268716
0.50673,2.57723,0.101766
-0.471242,1.85445,-0.0185458
-2.33689,0.164284,-0.370329
-2.22977,-0.163116,-0.472047
-0.162051,-2.39287,-0.96208
-0.0923243,-2.39921,-0.92809
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.36492,-2.49115,-0.409996
-1.80071,-2.65592,-0.192507
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.96446,-1.85381,0.332141
-3.14753,-1.38629,0.619585
-3.0712,-0.993977,0.605419
-2.71283,0.00240692,0.409101
-4,4,-0.3
