x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.62707,2.27465,-0.339281
1.92287,2.30272,-0.320169
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62821,1.40112,-0.172888
2.65219,0.979526,-0.141539
2.46017,-0.0974255,-0.249432
2.776,-0.576343,-0.470682
2.78858,-0.621186,-0.483038
2.82182,-0.915631,-0.494246
2.79431,-1.17398,-0.474605
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.07195,-2.62609,-0.0220493
1.56462,-2.75075,0.296318
0.246339,-2.61687,0.502566
-0.498755,-2.56249,0.434548
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.7238,0.0350624,-0.171741
-4,4,-0.3
