x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-0.431657,2.29753,-0.425918
1.91822,2.28668,-0.462764
2.5,2.5,-0.3
2.5,2.5,-0.3
2.66978,1.10508,0.634506
2.54778,0.211811,1.11106
2.53659,-0.0856132,1.23227
2.56862,-0.17444,1.22345
2.8987,-0.656601,0.926419
2.78371,-1.21243,0.555266
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.9247,-2.66515,-0.028141
1.73384,-2.70648,0.0535199
1.06798,-2.675,0.219033
0.791947,-2.64949,0.27771
-1.36939,-2.50825,0.0570441
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.75248,0.149727,-0.496527
-4,4,-0.3
