x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.66835,2.22558,-0.275863
1.83917,2.27764,-0.282738
2.5,2.5,-0.3
2.5,2.5,-0.3
1.78576,2.25641,-0.221119
-0.0776607,2.24017,-0.167463
-2.2291,0.166276,0.427272
-2.64967,-0.99098,1.05297
-0.213627,-2.36947,0.399478
0.130028,-2.4636,0.221438
1.52544,-2.75637,-0.444476
1.79587,-2.69614,-0.423457
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.93994,-2.66702,-0.455971
1.81897,-2.68648,-0.44538
1.40492,-2.71084,-0.313163
0.268792,-2.59924,0.261722
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.78117,0.530208,-0.298351
-4,4,-0.3
