x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.76724,2.27372,-0.568563
1.99907,2.31414,-0.519671
2.5,2.5,-0.3
2.5,2.5,-0.3
2.67347,1.43754,-0.283045
2.63192,0.87224,-0.210826
2.54079,0.0836811,-0.0481361
2.54649,-0.0754883,0.0206134
2.60351,-0.368768,0.143485
2.78785,-0.559042,0.0469658
2.80971,-1.08149,-0.136439
2.77183,-1.2714,-0.163238
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.84946,-2.71467,-0.473399
1.7383,-2.71114,-0.443997
0.933673,-2.6688,-0.204246
0.114646,-2.59325,0.0573942
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.7368,0.0487081,-0.0803815
-3.93622,3.82267,-0.300716
-4,4,-0.3
