x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
0.172615,2.14449,-0.322621
0.356698,1.88555,-0.466854
2.18576,2.3391,-0.367256
2.5,2.5,-0.3
2.5,2.5,-0.3
1.88814,2.26716,0.652285
-2.73274,2.03255,0.643462
-2.76981,0.952865,0.309882
-2.48637,0.0953068,0.184178
-0.892322,-2.17264,-0.0202561
-0.0315246,-2.45567,-0.0910822
0.505551,-2.33193,-0.181168
0.905131,-0.444199,-0.779369
1.42519,-0.401237,-0.831322
3.16531,-0.476049,-1.02282
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.74202,-2.71198,0.354295
1.21766,-2.70687,0.329201
0.223658,-2.61018,0.047499
-0.270056,-2.58367,-0.0333913
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.56702,-1.05244,-0.0701978
-2.81432,0.494924,-0.0519985
-4,4,-0.3
