x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-0.311556,2.27994,0.194091
1.88088,2.28753,-0.0404325
2.5,2.5,-0.3
2.5,2.5,-0.3
2.5913,2.41976,-0.347657
1.82682,2.28636,-0.315415
-0.205165,2.09022,-0.109754
-2.25031,0.316315,0.0085082
-2.25108,-0.420348,-0.181816
-1.47128,-1.33736,-0.585119
-1.21604,-1.56833,-0.698346
-0.715041,-1.9802,-0.898703
-0.0347004,-2.46973,-1.13271
1.42094,-2.89893,-1.12647
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.64533,-2.74664,1.1212
0.093614,-2.6004,0.641441
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.74406,0.301599,0.545886
-4,4,-0.3
