x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.32435,2.2965,-0.443201
1.87747,2.28949,-0.392641
2.5,2.5,-0.3
2.5,2.5,-0.3
2.51271,2.49278,-0.301
2.68216,0.871435,-0.697296
2.56778,0.295922,-1.07944
2.5299,-0.1024,-1.28733
2.77957,-0.588911,-0.83232
2.80887,-0.695622,-0.738747
2.83852,-1.0446,-0.526853
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.34789,-2.54829,-0.273841
1.8091,-2.69147,-0.242994
1.07814,-2.71326,-0.453404
0.265495,-2.61932,-0.56781
-0.0785966,-2.5886,-0.586776
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.75352,0.129824,-0.034177
-4,4,-0.3
