x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-1.03031,2.31687,-0.498052
1.77469,2.28886,-0.319157
1.89663,2.29855,-0.305672
2.5,2.5,-0.3
2.5,2.5,-0.3
2.67779,1.23373,-0.0216471
2.55037,0.0759628,0.246794
2.53442,-0.0885853,0.276557
2.57727,-0.166526,0.263706
2.87236,-0.64189,0.15343
2.80679,-1.21436,-0.00837327
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.83765,-2.6933,-0.474319
1.64625,-2.70835,-0.498886
1.10154,-2.68481,-0.534637
0.239646,-2.57663,-0.528294
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.75737,0.168092,-0.213202
-4,4,-0.3
