planner,env_seed,run,seed,obstacle_seed,resample_attempt,success,total_time_s,total_length
BITstar,1,6,118345,1000000,0,1,4.024552,28.886038
RRTConnect,1,7,119345,1000000,0,1,0.005316,43.298023
PRMstar,1,7,119345,1000000,0,1,5.025458,30.143518
RRTstar,1,7,119345,1000000,0,1,5.038056,29.837702
BITstar,1,7,119345,1000000,0,1,4.094341,30.042571
RRTConnect,1,8,120345,1000000,0,1,0.006929,40.870383
PRMstar,1,8,120345,1000000,0,1,5.035026,28.198006
RRTstar,1,8,120345,1000000,0,1,5.021016,30.865445
BITstar,1,8,120345,1000000,0,1,4.056911,28.043274
RRTConnect,1,9,121345,1000000,0,1,0.004966,47.483414
PRMstar,1,9,121345,1000000,0,1,5.037060,27.972422
RRTstar,1,9,121345,1000000,0,1,5.034644,30.524315
BITstar,1,9,121345,1000000,0,1,4.023213,29.142122
RRTConnect,1,10,122345,1000000,0,1,0.005615,41.064827
PRMstar,1,10,122345,1000000,0,1,5.031687,28.917186
RRTstar,1,10,122345,1000000,0,1,5.026931,29.687284
BITstar,1,10,122345,1000000,0,1,4.042836,31.251726
RRTConnect,1,11,123345,1000000,0,1,0.007474,41.544912
PRMstar,1,11,123345,1000000,0,1,5.031669,27.787588
RRTstar,1,11,123345,1000000,0,1,5.028315,29.298161
BITstar,1,11,123345,1000000,0,1,4.084680,28.653335
RRTConnect,1,12,124345,1000000,0,1,0.005249,41.397309
PRMstar,1,12,124345,1000000,0,1,5.034178,29.176135
RRTstar,1,12,124345,1000000,0,1,5.030403,27.819776
BITstar,1,12,124345,1000000,0,1,4.172358,29.161893
RRTConnect,1,13,125345,1000000,0,1,0.006442,41.263482
PRMstar,1,13,125345,1000000,0,1,5.035753,29.736617
RRTstar,1,13,125345,1000000,0,1,5.029956,28.238297
BITstar,1,13,125345,1000000,0,1,4.078765,31.003458
RRTConnect,1,14,126345,1000000,0,1,0.011770,47.764596
PRMstar,1,14,126345,1000000,0,1,5.027789,30.087852
RRTstar,1,14,126345,1000000,0,1,5.029669,29.144302
BITstar,1,14,126345,1000000,0,1,4.042967,28.341047
RRTConnect,1,15,127345,1000000,0,1,0.007957,44.036336
PRMstar,1,15,127345,1000000,0,1,5.032615,29.782291
RRTstar,1,15,127345,1000000,0,1,5.027515,29.326218
BITstar,1,15,127345,1000000,0,1,4.047204,30.414869
RRTConnect,1,16,128345,1000000,0,1,0.003946,42.231317
PRMstar,1,16,128345,1000000,0,1,5.032298,28.580506
RRTstar,1,16,128345,1000000,0,1,5.043869,28.623230
BITstar,1,16,128345,1000000,0,1,4.097668,29.199568
RRTConnect,1,17,129345,1000000,0,1,0.006606,45.239218
PRMstar,1,17,129345,1000000,0,1,5.026313,30.211867
RRTstar,1,17,129345,1000000,0,1,5.026165,30.928135
BITstar,1,17,129345,1000000,0,1,4.108338,29.235341
RRTConnect,1,18,130345,1000000,0,1,0.006472,42.583376
PRMstar,1,18,130345,1000000,0,1,5.031617,29.289122
RRTstar,1,18,130345,1000000,0,1,5.036065,29.507739
BITstar,1,18,130345,1000000,0,1,4.117519,29.341393
RRTConnect,1,19,131345,1000000,0,1,0.003971,46.210711
PRMstar,1,19,131345,1000000,0,1,5.026398,28.126221
RRTstar,1,19,131345,1000000,0,1,5.033565,29.476139
BITstar,1,19,131345,1000000,0,1,4.056152,29.252891
RRTConnect,2,0,212345,2000000,0,1,0.005374,33.505545
PRMstar,2,0,212345,2000000,0,1,5.026695,28.220849
RRTstar,2,0,212345,2000000,0,1,5.024849,27.186607
BITstar,2,0,212345,2000000,0,1,3.033308,27.792939
RRTConnect,2,1,213345,2000000,0,1,0.006609,33.553998
PRMstar,2,1,213345,2000000,0,1,5.025837,27.110194
RRTstar,2,1,213345,2000000,0,1,5.025059,28.142677
BITstar,2,1,213345,2000000,0,1,3.043872,27.819595
RRTConnect,2,2,214345,2000000,0,1,0.002780,39.484360
PRMstar,2,2,214345,2000000,0,1,5.015969,26.695924
RRTstar,2,2,214345,2000000,0,1,5.027309,28.121896
BITstar,2,2,214345,2000000,0,1,3.031212,27.105412
RRTConnect,2,3,215345,2000000,0,1,0.005562,41.649319
PRMstar,2,3,215345,2000000,0,1,5.022663,26.996486
RRTstar,2,3,215345,2000000,0,1,5.035369,28.207040
BITstar,2,3,215345,2000000,0,1,3.029341,27.512183
RRTConnect,2,4,216345,2000000,0,1,0.008089,32.066389
PRMstar,2,4,216345,2000000,0,1,5.029001,28.581778
RRTstar,2,4,216345,2000000,0,1,5.039514,26.857393
BITstar,2,4,216345,2000000,0,1,3.055229,27.291225
RRTConnect,2,5,217345,2000000,0,1,0.005396,38.997022
PRMstar,2,5,217345,2000000,0,1,5.027280,28.824974
RRTstar,2,5,217345,2000000,0,1,5.028516,27.945628
BITstar,2,5,217345,2000000,0,1,3.060394,27.036247
RRTConnect,2,6,218345,2000000,0,1,0.005127,40.328649
PRMstar,2,6,218345,2000000,0,1,5.039497,29.161368
RRTstar,2,6,218345,2000000,0,1,5.029564,27.574848
BITstar,2,6,218345,2000000,0,1,3.025790,26.713132
RRTConnect,2,7,219345,2000000,0,1,0.005581,31.591156
PRMstar,2,7,219345,2000000,0,1,5.032931,27.741092
RRTstar,2,7,219345,2000000,0,1,5.028637,27.628077
BITstar,2,7,219345,2000000,0,1,3.055511,28.075818
RRTConnect,2,8,220345,2000000,0,1,0.004043,31.448446
PRMstar,2,8,220345,2000000,0,1,5.034995,26.824737
RRTstar,2,8,220345,2000000,0,1,5.032347,26.086055
BITstar,2,8,220345,2000000,0,1,3.071243,27.547019
RRTConnect,2,9,221345,2000000,0,1,0.003975,35.840201
PRMstar,2,9,221345,2000000,0,1,5.036728,28.299032
RRTstar,2,9,221345,2000000,0,1,5.031937,28.447639
BITstar,2,9,221345,2000000,0,1,3.051024,26.996489
RRTConnect,2,10,222345,2000000,0,1,0.005381,31.591241
PRMstar,2,10,222345,2000000,0,1,5.031745,29.628354
RRTstar,2,10,222345,2000000,0,1,5.022818,27.480384
BITstar,2,10,222345,2000000,0,1,3.142431,27.909048
RRTConnect,2,11,223345,2000000,0,1,0.003964,37.194954
PRMstar,2,11,223345,2000000,0,1,5.037333,26.309010
RRTstar,2,11,223345,2000000,0,1,5.036798,27.201804
BITstar,2,11,223345,2000000,0,1,3.137440,26.798500
RRTConnect,2,12,224345,2000000,0,1,0.005319,42.076206
PRMstar,2,12,224345,2000000,0,1,5.029378,27.727080
RRTstar,2,12,224345,2000000,0,1,5.034477,27.081735
BITstar,2,12,224345,2000000,0,1,3.020903,28.861088
RRTConnect,2,13,225345,2000000,0,1,0.005067,33.393211
PRMstar,2,13,225345,2000000,0,1,5.038746,28.810495
RRTstar,2,13,225345,2000000,0,1,5.031210,25.787898
BITstar,2,13,225345,2000000,0,1,3.041537,27.820368
RRTConnect,2,14,226345,2000000,0,1,0.002908,32.486773
PRMstar,2,14,226345,2000000,0,1,5.026975,29.009539
RRTstar,2,14,226345,2000000,0,1,5.038185,28.249759
BITstar,2,14,226345,2000000,0,1,3.144458,29.564511
RRTConnect,2,15,227345,2000000,0,1,0.004430,32.091929
PRMstar,2,15,227345,2000000,0,1,5.036583,27.312161
RRTstar,2,15,227345,2000000,0,1,5.031372,28.022654
BITstar,2,15,227345,2000000,0,1,3.098728,26.997935
RRTConnect,2,16,228345,2000000,0,1,0.006551,40.795405
PRMstar,2,16,228345,2000000,0,1,5.038455,28.510013
RRTstar,2,16,228345,2000000,0,1,5.033759,26.411574
BITstar,2,16,228345,2000000,0,1,3.039546,30.282617
RRTConnect,2,17,229345,2000000,0,1,0.003867,33.060598
PRMstar,2,17,229345,2000000,0,1,5.036636,27.891456
RRTstar,2,17,229345,2000000,0,1,5.035115,27.555749
BITstar,2,17,229345,2000000,0,1,3.060068,27.246973
RRTConnect,2,18,230345,2000000,0,1,0.005615,38.012894
PRMstar,2,18,230345,2000000,0,1,5.029938,27.926725
RRTstar,2,18,230345,2000000,0,1,5.030815,27.223022
BITstar,2,18,230345,2000000,0,1,3.068136,27.318787
RRTConnect,2,19,231345,2000000,0,1,0.005839,32.550238
PRMstar,2,19,231345,2000000,0,1,5.019686,27.471555
RRTstar,2,19,231345,2000000,0,1,5.029726,28.798484
BITstar,2,19,231345,2000000,0,1,3.027202,27.611115
RRTConnect,3,0,312345,3000000,0,1,0.007335,37.428691
PRMstar,3,0,312345,3000000,0,1,5.025985,25.968517
RRTstar,3,0,312345,3000000,0,1,5.038606,25.533043
BITstar,3,0,312345,3000000,0,1,1.010493,26.824271
RRTConnect,3,1,313345,3000000,0,1,0.002828,27.474806
PRMstar,3,1,313345,3000000,0,1,5.040509,27.175259
RRTstar,3,1,313345,3000000,0,1,5.034464,25.782260
BITstar,3,1,313345,3000000,0,1,1.009746,26.295657
RRTConnect,3,2,314345,3000000,0,1,0.012433,28.145344
PRMstar,3,2,314345,3000000,0,1,5.023322,26.716357
RRTstar,3,2,314345,3000000,0,1,5.022048,26.880754
BITstar,3,2,314345,3000000,0,1,1.070666,26.099732
RRTConnect,3,3,315345,3000000,0,1,0.008116,28.075260
PRMstar,3,3,315345,3000000,0,1,5.030033,26.604538
RRTstar,3,3,315345,3000000,0,1,5.021458,25.955200
BITstar,3,3,315345,3000000,0,1,1.011157,26.204086
RRTConnect,3,4,316345,3000000,0,1,0.004180,26.899992
PRMstar,3,4,316345,3000000,0,1,5.018785,26.574317
RRTstar,3,4,316345,3000000,0,1,5.034638,25.663176
BITstar,3,4,316345,3000000,0,1,1.009559,25.758232
RRTConnect,3,5,317345,3000000,0,1,0.006311,28.159725
PRMstar,3,5,317345,3000000,0,1,5.022561,26.558437
RRTstar,3,5,317345,3000000,0,1,5.030020,26.686602
BITstar,3,5,317345,3000000,0,1,1.006460,26.138708
RRTConnect,3,6,318345,3000000,0,1,0.006084,36.181288
PRMstar,3,6,318345,3000000,0,1,5.033475,25.708974
RRTstar,3,6,318345,3000000,0,1,5.020891,26.630106
BITstar,3,6,318345,3000000,0,1,1.007255,26.164217
RRTConnect,3,7,319345,3000000,0,1,0.006119,28.535387
PRMstar,3,7,319345,3000000,0,1,5.038869,26.204438
RRTstar,3,7,319345,3000000,0,1,5.033756,25.811445
BITstar,3,7,319345,3000000,0,1,1.067605,25.943476
RRTConnect,3,8,320345,3000000,0,1,0.015958,38.559914
PRMstar,3,8,320345,3000000,0,1,5.029606,25.799269
RRTstar,3,8,320345,3000000,0,1,5.028272,25.809644
BITstar,3,8,320345,3000000,0,1,1.005208,26.803793
RRTConnect,3,9,321345,3000000,0,1,0.007214,28.516542
PRMstar,3,9,321345,3000000,0,1,5.031149,25.946834
RRTstar,3,9,321345,3000000,0,1,5.034627,25.697253
BITstar,3,9,321345,3000000,0,1,1.043728,26.371911
RRTConnect,3,10,322345,3000000,0,1,0.005926,35.544978
PRMstar,3,10,322345,3000000,0,1,5.025322,26.789267
RRTstar,3,10,322345,3000000,0,1,5.030151,25.470886
BITstar,3,10,322345,3000000,0,1,1.008019,27.802223
RRTConnect,3,11,323345,3000000,0,1,0.009045,35.729729
PRMstar,3,11,323345,3000000,0,1,5.023160,26.631985
RRTstar,3,11,323345,3000000,0,1,5.024539,26.079293
BITstar,3,11,323345,3000000,0,1,1.064260,26.701157
RRTConnect,3,12,324345,3000000,0,1,0.006566,28.312800
PRMstar,3,12,324345,3000000,0,1,5.039540,25.874678
RRTstar,3,12,324345,3000000,0,1,5.032664,26.459059
